official_progress,mean_delta,median_delta,stddev,20260818T070904.964515Z-89553b85,20260818T071108.082912Z-eb0d8a30,20260818T071510.985769Z-50987091,20260818T071710.794473Z-4ce4acd1,20260818T072109.029370Z-4c725de0
7264.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7266.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7268.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7270.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7272.0,-0.13500000000003637,-0.125,0.03791437722028324,-0.1750000000000682,-0.10000000000002274,-0.10000000000002274,-0.1750000000000682,-0.125
7274.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7276.0,-0.14000000000003182,-0.14999999999997726,0.03468609231380995,-0.1500000000000341,-0.10000000000002274,-0.11250000000001137,-0.1875000000001137,-0.14999999999997726
7278.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7280.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7282.0,-0.13500000000001364,-0.14999999999997726,0.0270993542358658,-0.15000000000009095,-0.10000000000002274,-0.11249999999995453,-0.16250000000002274,-0.14999999999997726
7284.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7286.0,-0.13500000000002502,-0.14999999999997726,0.027099354235860563,-0.1500000000000341,-0.10000000000002274,-0.11250000000001137,-0.16250000000007958,-0.14999999999997726
7288.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7290.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7292.0,-0.13500000000001364,-0.14999999999997726,0.0270993542358658,-0.15000000000009095,-0.10000000000002274,-0.11249999999995453,-0.16250000000002274,-0.14999999999997726
7294.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7296.0,-0.13500000000001364,-0.12499999999994316,0.037914377220300104,-0.1750000000000682,-0.10000000000002274,-0.0999999999999659,-0.1750000000000682,-0.12499999999994316
7298.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7300.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7302.0,-0.14000000000003182,-0.125,0.03354101966252566,-0.1750000000000682,-0.10000000000002274,-0.125,-0.1750000000000682,-0.125
7304.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7306.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7308.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7310.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7312.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7314.0,-0.14500000000000454,-0.14999999999997726,0.025920551691655264,-0.16250000000002274,-0.11250000000006821,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7316.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7318.0,-0.14500000000000454,-0.12500000000005684,0.027386127875264534,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.125
7320.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7322.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7324.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7326.0,-0.14500000000002727,-0.14999999999997726,0.025920551691688158,-0.16250000000007958,-0.11250000000001137,-0.125,-0.1750000000000682,-0.14999999999997726
7328.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7330.0,-0.14500000000001592,-0.125,0.027386127875306046,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.12499999999994316
7332.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7334.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7336.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7338.0,-0.13499999999997953,-0.12499999999994316,0.03791437722028324,-0.17500000000001137,-0.10000000000002274,-0.09999999999990905,-0.17500000000001137,-0.12499999999994316
7340.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7342.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7344.0,-0.125,-0.12499999999994316,0.025000000000019895,-0.1500000000000341,-0.10000000000002274,-0.0999999999999659,-0.1500000000000341,-0.12499999999994316
7346.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7348.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7350.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7352.0,-0.12499999999996589,-0.12499999999994316,0.025000000000005684,-0.14999999999997726,-0.10000000000002274,-0.09999999999990905,-0.14999999999997726,-0.12499999999994316
7354.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7356.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7358.0,-0.125,-0.12499999999994316,0.025000000000019895,-0.1500000000000341,-0.10000000000002274,-0.0999999999999659,-0.1500000000000341,-0.12499999999994316
7360.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7362.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7364.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7366.0,-0.13499999999997953,-0.12499999999994316,0.03791437722028324,-0.17500000000001137,-0.10000000000002274,-0.09999999999990905,-0.17500000000001137,-0.12499999999994316
7368.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7370.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7372.0,-0.14500000000001592,-0.125,0.027386127875306046,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.12499999999994316
7374.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7376.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7378.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7380.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7382.0,-0.14500000000002727,-0.14999999999997726,0.025920551691688158,-0.16250000000007958,-0.11250000000001137,-0.125,-0.1750000000000682,-0.14999999999997726
7384.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7386.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7388.0,-0.13000000000000683,-0.125,0.032596012026025016,-0.1500000000000341,-0.10000000000002274,-0.0999999999999659,-0.17500000000001137,-0.125
7390.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7392.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7394.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7396.0,-0.14500000000003865,-0.12500000000005684,0.027386127875285292,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.125
7398.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7400.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7402.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7404.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7406.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7408.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7410.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7412.0,-0.14000000000002047,-0.125,0.033541019662532014,-0.1750000000000682,-0.10000000000002274,-0.125,-0.1750000000000682,-0.12499999999994316
7414.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7416.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7418.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
