distance_m,combined_delta_s,wp1232_delta_s,wp2501_delta_s,expected_additive_delta_s,interaction_s,interaction_standard_error_s
52.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
54.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
56.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
58.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
60.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
62.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
64.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
66.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
68.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
70.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
72.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
74.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
76.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
78.0,-8.881784197001252e-16,2.4868995751603505e-15,-3.552713678800501e-16,2.1316282072803005e-15,-3.0198066269804257e-15,3.4168906036440464e-15
80.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
82.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
84.0,-8.881784197001252e-16,2.4868995751603505e-15,-3.552713678800501e-16,2.1316282072803005e-15,-3.0198066269804257e-15,3.4168906036440464e-15
86.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
88.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
90.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
92.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
94.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
96.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
98.0,-8.881784197001252e-16,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000003161,0.010000000000000408
100.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
102.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
104.0,-1.4210854715202005e-15,2.1316282072803005e-15,-7.105427357601002e-16,1.4210854715202003e-15,-2.842170943040401e-15,3.700624989733054e-15
106.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
108.0,-1.4210854715202005e-15,2.1316282072803005e-15,-7.105427357601002e-16,1.4210854715202003e-15,-2.842170943040401e-15,3.700624989733054e-15
110.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
112.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
114.0,-3.552713678800501e-16,2.842170943040401e-15,0.0,2.842170943040401e-15,-3.197442310920451e-15,3.1776437161565094e-15
116.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
118.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
120.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
122.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
124.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
126.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
128.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
130.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
132.0,-3.552713678800501e-16,2.842170943040401e-15,0.0,2.842170943040401e-15,-3.197442310920451e-15,3.1776437161565094e-15
134.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
136.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
138.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
140.0,-3.552713678800501e-16,2.842170943040401e-15,0.0,2.842170943040401e-15,-3.197442310920451e-15,3.1776437161565094e-15
142.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
144.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
146.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
